event_id,timestamp,session_elapsed_s,source,control_mode,force_value,left_value,right_value,threshold,trigger_id,simulated,perf_counter
1,1779360387.9581192,8.703559099987615,force,force,536.9880463849848,0.0,0.02693236045026342,510.12,force_jump,False,154161.4397984
2,1779360388.106149,8.851588799996534,force,force,975.5078750110154,0.6151043430784281,0.0736608572336819,510.12,force_jump,False,154161.5944583
3,1779360388.2565043,9.00194429999101,force,force,952.1591465704612,0.3728764550227631,0.4687568819041817,510.12,force_jump,False,154161.749839
4,1779360388.4246771,9.170116299996153,force,force,585.7707335118153,0.2816605636770462,0.0,510.12,force_jump,False,154161.9050413
5,1779360389.5211523,10.266592699976172,force,force,567.0524996855672,0.0,0.9919682122297713,510.12,force_jump,False,154163.0133868
6,1779360389.673147,10.418586499989033,force,force,982.0188624371164,0.42066623195352276,0.7080803387358158,510.12,force_jump,False,154163.1649918
7,1779360389.8248765,10.570316400000593,force,force,985.2881300105632,0.10849289078226333,0.0,510.12,force_jump,False,154163.3155212
8,1779360389.977586,10.723025799990864,force,force,969.9937233348619,0.8836255524976412,0.0,510.12,force_jump,False,154163.4689156
9,1779360390.1272843,10.872723999986192,force,force,600.0092070198679,0.4768974332345465,0.0,510.12,force_jump,False,154163.6211786
10,1779360392.333941,13.079366799996933,force,force,511.50614282983383,0.46570042729238253,0.4865416055381052,510.12,force_jump,False,154165.820484
11,1779360392.484668,13.230107599985786,force,force,975.2927635853532,1.0,0.21530959848050882,510.12,force_jump,False,154165.9707108
12,1779360392.6356475,13.381087299989304,force,force,960.7541601682842,0.0,0.05383196979152865,510.12,force_jump,False,154166.122332
13,1779360396.0574749,16.802915099979145,force,force,553.6404920226807,0.4933437152568813,1.0,510.12,force_jump,False,154169.5386892
14,1779360396.2057278,16.95116839997354,force,force,963.2199956180865,0.21935575524644926,0.0,510.12,force_jump,False,154169.6914429
15,1779360396.3553884,17.100828499998897,force,force,960.426796289133,0.6040043417487878,0.0,510.12,force_jump,False,154169.846189
16,1779360396.5188475,17.264286799996626,force,force,941.6921951918969,0.8085261610686345,0.051178399682196854,510.12,force_jump,False,154169.9994052
17,1779360396.671169,17.416609199979575,force,force,863.2708687958125,0.7283292003015783,0.0,510.12,force_jump,False,154170.1500324
18,1779360398.3108444,19.05628479999723,force,force,702.7856568165226,1.0,0.7060972794895712,510.12,force_jump,False,154171.7903928
19,1779360398.4604445,19.205883599992376,force,force,962.1591094794439,0.70718871340848,0.3217229743952126,510.12,force_jump,False,154171.9417962
20,1779360398.6126802,19.358119899989106,force,force,966.8891251820447,0.0,0.8017581283578743,510.12,force_jump,False,154172.0938039
21,1779360398.7622895,19.507729799981462,force,force,968.2842001453602,0.0,0.1562492431862454,510.12,force_jump,False,154172.2479562
22,1779360398.913051,19.65849149998394,force,force,909.7240254785414,0.9422461323588571,0.05679317288564673,510.12,force_jump,False,154172.4019283
23,1779360400.029403,20.774842399987392,force,force,534.8061606194842,0.5543881873009799,0.08415978516680243,510.12,force_jump,False,154173.5165691
24,1779360400.1791027,20.92454279999947,force,force,936.8899005174641,0.0,0.5109858450360352,510.12,force_jump,False,154173.6688341
25,1779360400.3413637,21.086803199985297,force,force,956.8609465011643,0.11432585730502369,0.4157663467375535,510.12,force_jump,False,154173.8234897
26,1779360400.4911852,21.23662549999426,force,force,892.0762614138981,0.3094764568894503,0.2684030387067448,510.12,force_jump,False,154173.9771828
27,1779360403.4290686,24.17450789999566,force,force,546.7457567222408,0.0,0.29856343490538007,510.12,force_jump,False,154176.9191218
28,1779360403.5916448,24.337084999977378,force,force,956.1722634417667,0.0,0.7827803008102202,510.12,force_jump,False,154177.0732003
29,1779360403.7397976,24.48523789999308,force,force,909.4840984269852,0.0,0.09685172841784882,510.12,force_jump,False,154177.2261332
30,1779360403.8909929,24.636433299980126,force,force,605.7209480470523,0.5219328351365181,0.39332858559239164,510.12,force_jump,False,154177.3769859
31,1779360425.3420906,46.0875296999875,force,force,525.189167176966,0.22177494862582045,0.710238636587554,510.12,force_jump,False,154198.8232906
